SKU,Price,Date
2,52.41,09-01-2010
2,55.5,05-07-2009
3,115.98,05-07-2009
2,55.59,05-07-2009
1,116.43,05-07-2009
2,54.74,05-07-2009
2,54.74,05-07-2009
2,54.75,04-07-2009
2,54.99,05-07-2009
1,167.5,05-07-2009
3,109.58,05-07-2009
2,54.74,05-07-2009
3,109.58,05-07-2009
2,54.99,11-01-2010
2,52.35,11-01-2010
2,56,11-01-2010
2,54.75,05-07-2009
2,54.75,06-07-2009
3,115.98,06-07-2009
2,55.59,06-07-2009
1,116.43,06-07-2009
2,57.07,11-01-2010
2,49.99,11-01-2010
1,139.3,05-07-2009
2,54.99,06-07-2009
1,167.5,06-07-2009
3,109.58,06-07-2009
2,54.74,06-07-2009
2,54.74,06-07-2009
2,55.5,06-07-2009
2,54.74,06-07-2009
3,109.58,06-07-2009
1,185.13,12-01-2010
1,187.11,12-01-2010
1,169.45,12-01-2010
2,56,12-01-2010
2,56,12-01-2010
1,185.36,12-01-2010
2,59.38,12-01-2010
1,188.4,12-01-2010
2,57.07,12-01-2010
1,139.3,06-07-2009
1,167.5,07-07-2009
3,109.58,07-07-2009
2,57.95,12-01-2010
1,187.62,12-01-2010
3,148.23,07-07-2009
2,54.99,07-07-2009
2,54.75,07-07-2009
3,115.98,07-07-2009
2,55.59,07-07-2009
1,116.43,07-07-2009
2,54.74,07-07-2009
2,54.74,07-07-2009
2,54.74,07-07-2009
3,109.58,07-07-2009
2,55.5,07-07-2009
2,59.85,12-01-2010
1,185.36,13-01-2010
2,59.38,13-01-2010
1,183.31,13-01-2010
1,185.13,13-01-2010
1,148.32,13-01-2010
2,39.72,08-07-2009
2,57.95,13-01-2010
3,148.23,08-07-2009
2,54.99,08-07-2009
2,56.61,13-01-2010
3,115.98,08-07-2009
1,148.32,13-01-2010
2,56.61,13-01-2010
1,139.3,07-07-2009
1,167.5,08-07-2009
3,109.58,08-07-2009
2,55.59,08-07-2009
1,116.43,08-07-2009
2,54.74,08-07-2009
2,54.74,08-07-2009
2,55.5,08-07-2009
2,54.43,08-07-2009
3,109.58,08-07-2009
2,59.85,13-01-2010
2,56.99,14-01-2010
1,185.13,14-01-2010
1,186.82,14-01-2010
1,182.21,14-01-2010
2,59.38,14-01-2010
1,148.32,14-01-2010
1,183.31,14-01-2010
2,57.07,14-01-2010
1,139.3,08-07-2009
2,56.61,14-01-2010
2,57.95,14-01-2010
2,54.75,08-07-2009
3,115.98,09-07-2009
2,55.59,09-07-2009
1,116.43,09-07-2009
2,54.75,09-07-2009
1,167.5,09-07-2009
3,109.58,09-07-2009
2,54.74,09-07-2009
3,109.58,09-07-2009
1,139.3,09-07-2009
2,55.5,09-07-2009
2,54.74,09-07-2009
2,54.74,09-07-2009
2,50.4,15-01-2010
2,56,15-01-2010
1,163.39,15-01-2010
2,54.99,09-07-2009
2,54.75,10-07-2009
3,122.68,15-01-2010
3,115.98,10-07-2009
2,55.59,10-07-2009
1,154.1,10-07-2009
3,109.58,10-07-2009
1,116.43,10-07-2009
2,57.96,10-07-2009
2,54.74,10-07-2009
2,54.74,10-07-2009
2,52.28,10-07-2009
2,55.98,15-01-2010
2,53.29,16-01-2010
2,55.5,10-07-2009
3,109.58,10-07-2009
1,139.3,10-07-2009
3,84.37,16-01-2010
2,54.91,16-01-2010
1,148.32,16-01-2010
1,154.1,11-07-2009
3,109.58,11-07-2009
2,54.99,10-07-2009
2,54.99,11-07-2009
3,115.98,11-07-2009
2,55.59,11-07-2009
1,116.43,11-07-2009
2,54.74,11-07-2009
2,54.74,11-07-2009
2,57.96,11-07-2009
2,54.74,11-07-2009
3,109.58,11-07-2009
3,109.71,16-01-2010
2,53.29,16-01-2010
2,55.5,11-07-2009
1,148.32,16-01-2010
3,84.37,17-01-2010
2,50.5,17-01-2010
1,148.32,17-01-2010
2,54.75,11-07-2009
2,54.75,12-07-2009
2,50.46,17-01-2010
3,115.98,12-07-2009
2,50.46,17-01-2010
2,50.48,17-01-2010
1,139.3,11-07-2009
1,154.1,12-07-2009
3,109.58,12-07-2009
2,57.96,12-07-2009
2,54.74,12-07-2009
2,55.5,12-07-2009
2,55.59,12-07-2009
1,116.43,12-07-2009
2,54.74,12-07-2009
2,54.74,12-07-2009
3,109.71,17-01-2010
2,50.46,17-01-2010
2,54.99,12-07-2009
2,50.48,17-01-2010
3,109.58,12-07-2009
3,84.37,18-01-2010
1,139.3,12-07-2009
2,50.46,18-01-2010
2,50.46,18-01-2010
2,54.99,13-07-2009
3,109.71,18-01-2010
2,50.46,18-01-2010
3,115.98,13-07-2009
1,154.1,13-07-2009
3,109.58,13-07-2009
2,57.96,13-07-2009
2,54.74,13-07-2009
3,109.58,13-07-2009
2,54.75,13-07-2009
2,55.5,13-07-2009
2,55.59,13-07-2009
1,116.43,13-07-2009
2,54.74,13-07-2009
2,54.74,13-07-2009
1,139.3,13-07-2009
